N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
72;Luísa Costa Gomes;Trava - línguas;;D. Quixote;Alfragide;30/08/2011;Compra;;;;;
73;Selec. e notas de José Viale Moutinho;O livrinho das lengalengas;;Afrontamento;Porto;30/08/2011;Compra;;;;;
74;Maria José Araújo;O quê?... Os adultos não sabem?;;Prime Books;[Lisboa];30/08/2011;Compra;;;;;
75;Alice Vieira;A lua não está à venda;;Caminho;Alfragide;30/08/2011;Compra;;;;;
76;Marta Rivera Ferner;O elefante que não era elefante;;Deriva;Porto;30/08/2011;Compra;;;;;
77;Porto Editora;Dicionário escolar da língua portuguesa;;Porto Editora;Porto;30/08/2011;Compra;;;;;
78;Porto Editora;Dicionário básico da língua portuguesa;;Porto Editora;Porto;30/08/2011;Compra;;;;;
79;Porto Editora;Dicionário da língua portuguesa;;Porto Editora;Porto;30/08/2011;Compra;;;;;
80;J. e W. Grimm;Os quatro amigos;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
81;Miriam Sánchez Moreira;Onde perdeu a Lúa o riso?;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
82;Marisa Núñez;O pinto careca;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
83;Clara Cunha;O cuquedo;;Horizonte;Lisboa;30/08/2011;Compra;;;;;
84;Xosé Ballesteros;O coelhinho branco;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
85;Eva Mejuto;A casa da mosca FOSCA;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
86;Alice Vieira;A charada da bicharada;;Texto;Alfragide;30/08/2011;Compra;;;;Pré-Escola;E
87;Leo Lionni;Nadadorzinho;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;D
88;Vanina Starkoff;Dançar nas nuvens;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;D
89;Xosé Ballesteros;Os sete cabritos;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
90;Leo Lionni;Frederico;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;D
91;Luísa Ducla Soares;Se os bichos se vestissem como gente;;Civilização;Porto;30/08/2011;Compra;;;;;
92;Xosé Álvarez Cáccamo;Dinossáurio Belisário;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
93;David Mckee;Elmer;;Caminho;Alfragide;30/08/2011;Compra;;;;;
94;Pep Bruno;A familia C;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
95;Leo Lionni;O que é?;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
96;Coby Hol;Como aprender a voar?;;Plátano;Lisboa;30/08/2011;Compra;;;;;
97;Mon Daporta;Um bicho estranho;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
98;Guido Van Genechten;Tal como tu!;;Educação Nacional;Vila Nova de Gaia;30/08/2011;Compra;;;;;
99;Fran Alonso;A aranha e eu;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
100;Paule Alen;Adeus querida chupeta!;;Everest;Rio de Mouro;30/08/2011;Compra;;;;;
101;David Bedford;A melhor camisola do mundo;;Minutos de Leitura;Estoril;30/08/2011;Compra;;;;;
102;Leo Lionni;Quando?;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;;
103;Norbert Landa;Desculpa!;;Minutos de Leitura;Estoril;30/08/2011;Compra;;;;;
104;Satoshi Kitamura;Olá quem está aí?;;Ana Paula Faria - Ed. Unip.;[Lisboa];30/08/2011;Compra;;;;Creche;B
105;Paula Carballeira;Xico;;Kalandraka;Matosinhos;30/08/2011;Compra;;;;Creche;C
106;Jo Lodge;Onde é que vais, senhor Croc?;;Minutos de Leitura;Estoril;30/08/2011;Compra;;;;;
107;Filipe Ugalde;Um grande sonho;;Kalandraka;[Matosinhos];30/08/2011;Compra;;;;;
108;Lucy Cousins;Viva o peixinho!;;Caminho;Alfragide;30/08/2011;Compra;;;;;
