N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
434;Isabel Minhós Martins, Bernardo Carvalho;O rapaz que gostava de aves : (e de muitas outras coisas);;Planeta Tangerina;Carcavelos;29/10/2012;Oferta;;;;;
435;Beatrice Alemagna;A gigantesca pequena coisa;;Bags Of  Books;Gafanha da Nazaré;29/10/2012;Oferta;;;;Obras de arte;C
436;Adela Turín;Rosa Rebuçado;;Kalandraka;Matosinhos;29/10/2012;Oferta;;;;;
437;Shaun Tan;A árvore vermelha;;Kalandraka;Matosinhos;29/10/2012;Oferta;;;;;
438;Suzy Lee;Onda;;Ana Paula Faria;Lisboa;29/10/2012;Oferta;;;;;
439;Suzy Lee;Espelho;;Ana Paula Faria;Lisboa;29/10/2012;Oferta;;;;;
440;Béatrice Rodriguez;O ladrão de galinhas;;Bags Of  Books;Gafanha da Nazaré;29/10/2012;Oferta;;;;Creche;A
441;Sophie Strrady;Na floresta da perguiça;;Bruaá;Figueira de Foz;29/10/2012;Oferta;;;;para refletir;B
442;il. Serge Bloch;O tigre na rua e outros poemas;;Bruaá;Figueira de Foz;29/10/2012;Oferta;;;;para refletir;A
443;Mafalda Milhões;Uma biblioteca é uma casa onde cabe toda a gente;;O Bichinho de Conto;Óbidos;29/10/2012;Oferta;;;;;
444;Xosé Manuel González;Artur;;Kalandraka;Matosinhos;29/10/2012;Oferta;;;;;
445;Pinto & Chinto;Minimalário;;Kalandraka;Matosinhos;29/10/2012;Oferta;;;;;
446;Oliver Jeffers;O coração e a garrafa;;Orfeu Negro;Lisboa;02/11/2012;Oferta;;;;para refletir;D
447;Tim Bowley;Amélia quer um cão;;Kalandraka;Matosinhos;02/11/2012;Oferta;;;;Creche;C
448;Cristina Falcón Maldonado;Letras nos atacadores;;Kalandraka;Matosinhos;02/11/2012;Oferta;;;;Pré-Escola;E
449;Eric Carle;Queres brincar comigo;;Kalandraka;Matosinhos;02/11/2012;Oferta;;;;;
450;Peter H. Reynolds;O ponto;;Bruaá;Figueira de Foz;02/11/2012;Oferta;;;;;
451;William Bee;Grande coisa;;Planeta Tangerina;Carcavelos;02/11/2012;Oferta;;;;para refletir;D
452;Isabel Minhós Martins, Bernardo Carvalho;Obrigada a todos!;;Planeta Tangerina;Carcavelos;02/11/2012;Oferta;;;;Pré-Escolar;A
453;Lurdes Breda;O alfabeto trapalhão;;Ana Paula Faria;[S.l.];02/11/2012;Oferta;;;;;
454;Martín León Barreto;A viagem de Olaj;;Kalandraka;Figueira de Foz;02/11/2012;Oferta;;;;Creche;C
455;Tomi Ungerer;Crictor;;Kalandraka;Carcavelos;02/11/2012;Oferta;;;;Pré-Escolar;C
456;Daniela Kulot;Crocodilo e girafa;;Kalandraka;Carcavelos;02/11/2012;Oferta;;;;Pré-Escolar;D
457;Daniela Kulot;Um pequeno crocodilo ternurento que só visto;;Kalandraka;Carcavelos;02/11/2012;Oferta;;;;Pré-Escolar;D
6;Margarida Botelho;Eva;;Ed. do Autor;[S.l.];02/11/2012;Oferta;;;;para refletir;C
459;Tim Bowley;Jaime e as bolotas;;Kalandraka;Carcavelos;02/11/2012;Oferta;;;;Creche;C
460;Miguel Murugarren;Animalário universal do Professor Revillod;;Orfeu Mini;Lisboa;02/11/2012;Oferta;;;;Creche;E
461;coord. Carlos Marinho Falcão;Toca a…aprender a aprender;1;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
462;coord. Alberto Magalhães;Toca a…ajudar a crescer;2;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
463;coord. Carlos Marinho Falcão;Toca a…brincar para crescer;3;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
464;coord. Vera Fialho;Toca a…dormir;4;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
465;coord. Carlos Marinho Falcão;Toca a…entrar na escola;5;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
466;coord.Manuela Fialho;Toca a…falar;6;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
467;cood. Alberto Magalhães;Toca a…lidar com o ciúme fraterno;7;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
468;coord. Manuel Fialho;Toca a…lidar com a gaguez;8;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
469;coord. Vera Fialho;Toca a…perder o medo;9;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
470;coord. Carlos Marinho Falcão;Toca a…ser adolescente;10;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
471;coord. Alberto Magalhães;Toca a...comer;11;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
472;coord. Alberto Magalhães;Toca a…gostar de mim;12;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
473;coord. Equipa de Saúde Mental Infanto-Juvenil;Toca a…acabar com as birras;13;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
474;coord. Equipa de Saúde Mental Infanto-Juvenil;Toca a…não molhar a cama;14;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;02/11/2012;Oferta;;;;;
475;coord. Equipa de Saúde Mental Infanto-Juvenil;Toca a…lidar com a hiperactividade;15;Equipa de Saúde Mental Infanto-Juvenil -Hospital do Espírito Santo de Évora;Évora;08/11/2012;Oferta;;;;;
476;Heike Bitter, Christine Schulze;Logico piccolo : introdução ao estudo do meio;;Estúdio Didáctica;Lisboa;08/11/2012;Oferta;"Fichas separadas(No transito;Animais dom.e animais da quinta;Plantas úteis;No campo;O meu corpo;Tempo e calendário)";;;;
477;Bruno Munari;Na noite escura;;Bruaá;Figueira de Foz;11/12/2012;Compra;;;;;
478;Michäel Leblond;Nova Iorque em pijama;;Kalandraka;Matosinhos;11/12/2012;Compra;;;;Obras de arte;E
479;orient. Maria ErmelindaFreire Marques Damas;Actividades lógicas 1;;Ludomedia;Oliveira de Azeméis;11/12/2012;Compra;;;;;
480;orient. Maria ErmelindaFreire Marques Damas;Actividades lógicas 2;;Ludomedia;Oliveira de Azeméis;11/12/2012;Compra;;;;;
481;orient. Maria ErmelindaFreire Marques Damas;Actividades lógicas 3;;Ludomedia;Oliveira de Azeméis;11/12/2012;Compra;;;;;
482;orient. Maria ErmelindaFreire Marques Damas;Actividades lógicas 4;;Ludomedia;Oliveira de Azeméis;11/12/2012;Compra;;;;;
483;coord. da rev. cient. José Orlando Strecht Ribeiro;Early Bird : all about animals;;Estúdio Didáctica;Lisboa;18/12/2012;Compra;Poster de mesa;;;;
484;coord. da rev. cient. José Orlando Strecht Ribeiro;Early Bird : me and my family;;Estúdio Didáctica;Lisboa;18/12/2012;Compra;Poster de mesa;;;;
485;coord. da rev. cient. José Orlando Strecht Ribeiro;Early Bird : my home;;Estúdio Didáctica;Lisboa;18/12/2012;Compra;Poster de mesa;;;;
486;coord. da rev. cient. José Orlando Strecht Ribeiro;Early Bird : that´s me;;Estúdio Didáctica;Lisboa;18/12/2012;Compra;Poster de mesa;;;;
487;coord. da rev. cient. José Orlando Strecht Ribeiro;Early Bird : at school;;Estúdio Didáctica;Lisboa;18/12/2012;Compra;Poster de mesa;;;;
488;coord. da rev. cient. José Orlando Strecht Ribeiro;Early Bird : seasons and festivals;;Estúdio Didáctica;Lisboa;18/12/2012;Compra;Poster de mesa;;;;
489;Fernanda C. A. S. Pinho, José Manuel R. Rosa, Maria Ermelinda F. M. Damas;Pinta, brina a aprender com os blocos lógicos;;Estúdio Didáctica;Lisboa;18/12/2012;Compra;Tabuleiro dos blocos lógicos + jogo c/ 48 peças+ CD-rom;;;;
490;José Manuel Resende Rosa, Maria Ermelinda F. Marques Damas;Primeiros Passos em matemática;;Ludomedia;Oliveira de Azeméis;18/12/2012;Compra;;;;;
491;Simona Ciraolo;Quero um abraço;;Orfeu Negro;Lisboa;02/04/2024;Oferta;;;;;
492;Ariana Squillori;Debaixo das pedras;;Akiara Books;Barcelona;02/04/2024;Oferta;;;;para refletir;B
493;Josep Navarro Santauelália;Tempo de Haikus;;Akiara Books;Barcelona;02/04/2024;Oferta;;;;para refletir;B
494;Alex Nogués;Uma quinta;;Akiara Books;Barcelona;02/04/2024;Oferta;;;;para refletir;B
495;Mar Benegas;Coração de pássaro;;Akiara Books;Barcelona;02/04/2024;Oferta;;;;para refletir;B
496;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
497;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
498;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
499;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
500;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
501;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
502;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
503;Jon Arno Lawson e Sydney Smith;Flores mágicas;;Livros Horizonte;Lisboa;02/04/2024;Oferta;;;;;
504;Jordi Amenós;De onde vêm as ideias?;;Akiara Books;Barcelona;04/04/2024;Compra;;;;para refletir;C
505;Laia de Ahumada;O sexto sentido;;Pequena Fragmenta;Barcelona;04/04/2024;Compra;;;;para refletir;C
506;Laëtitia Bourget e Emmanuelle Houdart;Crescer;;Orfeu Negro;Lisboa;04/04/2024;Compra;;;;;
507;Carson Ellis;Casa;;Orfeu Negro;Lisboa;04/04/2024;Compra;;;;;
508;Rotraut Susanne Berner;O livro da primavera;;Albana Lima;[S.l.];04/04/2024;Compra;;;;Creche;C
509;Rotraut Susanne Berner;O livro do inverno;;Albana Lima;[S.l.];04/04/2024;Compra;;;;Creche;C
510;Rotraut Susanne Berner;O livro do verão;;Albana Lima;[S.l.];04/04/2024;Compra;;;;Creche;C
511;Rotraut Susanne Berner;O livro do outono;;Albana Lima;[S.l.];04/04/2024;Compra;;;;Creche;C
512;Kim Sena;É tempo de andar;;Baduga;[S.l.];04/04/2024;Compra;;;;Obras de Arte;D
513;Sébastien Perez e Benjamin Lacombe;Frida;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;Obras de Arte;B
514;Rita Sineiro;Livro do inverno;;UPA;[S.l.];04/04/2024;Compra;;;;;
515;Isabel Peixeiro ;Livro do outono;;UPA;[S.l.];04/04/2024;Compra;;;;;
516;Joana Barata;Livro do verão;;UPA;[S.l.];04/04/2024;Compra;;;;;
517;Jordi Pigem;Redescobrir o mundo;;Akiara Books;Barcelona;04/04/2024;Compra;;;;Creche;E
518;Alex Nogués;Às vezes o bosque…;;Akiara Books;Barcelona;04/04/2024;Compra;;;;Creche;E
519;Gianni Rodari;Gramática da fantasia;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;;
520;Inês Castel-Branco;Respira;;Akiara Books;Barcelona;04/04/2024;Compra;;;;para refletir;C
521;Fran Pintadera;Porque temos medo?;;Akiara Books;Barcelona;04/04/2024;Compra;;;;para refletir;C
522;Fran Pintadera;Porque choramos?;;Akiara Books;Barcelona;04/04/2024;Compra;;;;para refletir;C
523;Inês Castel-Branco;A tua canção;;Akiara Books;Barcelona;04/04/2024;Compra;;;;para refletir;E
524;Inês Castel-Branco;Obrigado, mãe terra;;Akiara Books;Barcelona;04/04/2024;Compra;;;;para refletir;B
525;Simona Ciraolo;Queria um abraço;;Orfeu Negro;Lisboa;04/04/2024;Compra;;;;;
526;Tomie DePaola;A avó lá de cima e a avó lá de Baixo;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;Pré-Escolar;D
527;María José Floriano Novoa;Terra de ninguém;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;para refletir;E
528;Elena Bernabé;Com as mãos;;Akiara Books;Barcelona;04/04/2024;Compra;;;;Pré-Escolar;C
529;Albertine;Serafina : o aniversário;;Albana Lima;[S.l.];04/04/2024;Compra;;;;Crerche;C
530;Arianna Papini;O que gostarias de ser?;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;Pré-Escolar;C
531;Virginie Aladjidi;Inventário dos dinossauros;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;arte e ciência;B
532;Virginie Aladjidi;Inventário dos animais;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;arte e ciência;B
533;Virginie Aladjidi;Inventário das árvores;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;arte e ciência;C
534;Maria Prates;Cantar Juntos;1;A PAR - Associação Aprender em Parceria ;Lisboa;04/04/2024;Compra;;;;Creche;A
535;Maria Prates;Cantar Juntos;2;A PAR - Associação Aprender em Parceria ;Lisboa;04/04/2024;Compra;;;;Creche;A
536;Clara Cunha;Filhos da lua;;Prodidáctico;Alcabideche;04/04/2024;Compra;;;;Pré-Escolar;C
537;Adela Turín;Artur e Clementina;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;Creche;D
538;Aleksandra Mizielínska, Daniel Mizielinski;Histórias de Vila Mamoko ;;Albana Lima;[S.l.];04/04/2024;Compra;;;;Creche;C
539;Janet Ahlberg e Allan Ahlberg;Que ossos curiosos;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;;
540;Allan Ahlberg;Sonhos com dinossauros;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;;
541;Anthony Browne;O livro dos porquinhos;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;;
542;Pilar Martínez;A galinha ruiva;;Kalandraka;Matosinhos;04/04/2024;Compra;;;;Creche;C
543;Nowordbooks;Animais da savana;;Nowordbooks;[S.l.];04/04/2024;Compra;;;;Creche;B
544;Nowordbooks;Animais da selva;;Nowordbooks;[S.l.];04/04/2024;Compra;;;;Creche;B
545;Nowordbooks;Animais florestais;;Nowordbooks;[S.l.];04/04/2024;Compra;;;;Creche;B
546;Nowordbooks;Animais selvagens e seus descendentes;;Nowordbooks;[S.l.];04/04/2024;Compra;;;;Creche;B
547;Nowordbooks;Animais domésticos e seus descendentes;;Nowordbooks;[S.l.];04/04/2024;Compra;;;;Creche;B
548;M. Carmen Aznar;O jardim que habitas;;Akiara Books;Barcelona;11/11/2014;Oferta;;;;para refletir;B
549;Fran Pintadera;A canção do Pássaro Toc;;Akiara Books;Barcelona;11/11/2024;Oferta;;;;para refletir;B
550;M. Alzéal;O boneco;;kalandraka;Matosinhos;11/11/2024;Oferta;;;;Creche;A
551;Michael Grejniec;A que sabe a lua?;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;;
552;Isabel Minhós Martins;Como ver coisas invisíveis : observações , experiências;;Planeta Tangerina;Carcavelos;11/11/2024;Compra;;;;arte e ciência;D
553;Telma Pereira e Carlos Garcia;Cantar juntos pelo mundo;CD;A PAR - Associação Aprender em Parceria ;Lisboa;11/11/2024;Compra;;;;Creche;A
554;Carmen Queralt;Quem é esse bicho;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;Creche;D
555;Núria Parera;O grande salto;;Akiara Books;Barcelona;11/11/2024;Compra;;;;para refletir;C
556;Virginie Aladjidi;Inventário dos mares;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;;
557;Virginie Aladjidi;Inventário das árvores;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;;
558;nov/24;Inventário das aves;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;arte e ciência;E
559;Virginie Aladjidi;Inventário dos insetos;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;arte e ciência;E
560;Virginie Aladjidi;Inventário das rochas e dos minerais;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;;
561;Lucile Guittienne e Pierre-Antoine Gérard;Inventário dos animais com cauda;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;;
562;Virginie Aladjidi;Inventário dos frutos e legumes;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;arte e ciência;C
563;Nuppita Pittman;Sobe;;UPA;[S.l.];11/11/2024;Compra;;;;Creche;B
564;Ángela Cuartas;Tartaruga;;Alfarroba;[S.l.];11/11/2024;Compra;;;;para refletir;D
565;Shaun Tan;Cigarra;;Orfeu Negro;Lisboa;11/11/2024;Compra;;;;Pré-Escolar;C
566;Drew Daywalt;O dia em que os lápis desistiram;;Orfeu Negro;Lisboa;11/11/2024;Compra;;;;Pré-Escolar;D
567;Isabel Mihnós Martins, Maria Manuel Pedrosa;Cá dentro : guia para descobrir o cérebro;;Planeta Tangerina;Carcavelos;11/11/2024;Compra;;;;arte e ciência;D
568;Maria Ana Peixe Dias e Inês Teixeira do Rosário;Lá fora : guia para descobrir a natureza;;Planeta Tangerina;Carcavelos;11/11/2024;Compra;;;;arte e ciência;D
569;Filipa Tomaz, Letícia do Carmo;Uma casa é uma montanha é um chapéu;;Planeta Tangerina;Carcavelos;11/11/2024;Compra;;;;Pre-Escolar;A
570;Guillermo Gil Schröder;Os dois lobos;;Akiara Books;Barcelona;11/11/2024;Compra;;;;para refletir;C
571;Mark Janssen;Sonhador;;Baduga;[S.l.];11/11/2024;Compra;;;;Pre-Escolar;B
572;Oliver Jeffers;Reco Meçar;;Orfeu Negro;Lisboa;11/11/2024;Compra;;;;para refletir;C
573;Hans Christian Andersen;A menina dos fósforos;;Alfarroba;[S.l.];11/11/2024;Compra;;;;Obras de arte;D
574;Gianni Rodari;Um e sete;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;Creche;D
575;Michaël Leblond;Paris em pijamarama : Imagens que se animam como que por magia;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;Obras de arte;E
576;Michaël Leblond;O museu em pijamarama : Imagens que se animam como que por magia;;Kalandraka;Matosinhos;11/11/2024;Compra;;;;;
577;Stéphane Servant;A minha mãe;;Orfeu Negro;Lisboa;23/01/2025;Compra;;;;Obras de arte;B
578;Michèle Petit;Somos animais poéticos;;Kalandraka;Matosinhos;23/01/2025;Compra;;;;Obras de arte;C
579;Iona Heath;Questões de vida e de morte;;Kalandraka;Matosinhos;23/01/2025;Compra;;;;arte e ciência;C
580;Marie Sellier;O nascimento do dragão;;Kalandraka;Matosinhos;23/01/2025;Compra;;;;Obras de arte;E
581;Issa Watanabe;Migrantes;;Orfeu Negro;Lisboa;23/01/2025;Compra;;;;para refletir;E
582;Rémi Courgeon;Endireita-te;;Orfeu Negro;Lisboa;23/01/2025;Compra;;;;Obras de arte;E
583;Adelheid Dahimène;Burros;;Orfeu Negro;Lisboa;23/01/2025;Compra;;;;para refletir;A
584;Maria João Lopes;Os pais não sabem, mas eu explico;;Máquina de Voar;[S.l.];23/01/2025;Compra;;;;Pré-Escolar;C
585;Gianni Rodari;Era duas vezes o barão Lamberto;;Kalandraka;Lisboa;23/01/2025;Compra;;;;arte e ciência;C
586;Isabel Minhós Martins;O Ponto em que estamos;;Planeta Tangerina;Carcavelos;23/01/2025;Compra;;;;Pré-Escolar;A
587;Franz Kafka, Guridi;O desejo de ser um índio;;Simon's Books;[S.l.];23/01/2025;Compra;;;;para refletir;C
588;Jacinto Lucas Pires;Faz diferença;;Bruaá;Figueira de Foz;23/01/2025;Compra;;;;para refletir;D
589;música Nuno Salvado;O som das emoções;;Associação Terra Batida;[S.l.];23/01/2025;Compra;;;;Creche;A
590;Inês Viegas Oliveira;O duelo;;Planeta Tangerina;Carcavelos;23/01/2025;Compra;;;;para refletir;C
591;Gaëtan Dorémus;Amigo-amigos;;Livros Horizonte;Lisboa;23/01/2025;Compra;;;;;
592;Sofia Paulino;Contos ao vento;;Simon's Books;[S.l.];23/01/2025;Compra;;;;para refletir;D
593;Johanna Schaible;Era uma vez;;Planeta Tangerina;Carcavelos;23/01/2025;Compra;;;;para refletir;C
594;Akiko Miyakoshi;Regresso a casa;;Orfeu Negro;Lisboa;23/01/2025;Compra;;;;Creche;D
595;Xulio Gutiérrez;Ocultos : animais extraordinários;;Kalandraka;Matosinhos;02/05/2025;Compra;;;;Obras de arte;A
596;Xulio Gutiérrez;Viajantes : animais extraordinários;;Kalandraka;Matosinhos;02/05/2025;Compra;;;;Obras de arte;A
597;Xulio Gutiérrez;Olhos : animais extraordinários;;Kalandraka;Matosinhos;02/05/2025;Compra;;;;Obras de arte;A
598;Marie-Sabine Roger;O grande grrrrr;;Orfeu Negro;Lisboa;02/05/2025;Oferta;;;;Pré-Escolar;C
599;Josep Maria Mallarach;A sabedoria dos povos Indígenas;;Akiara Books;Barcelona;02/05/2025;Compra;;;;para refletir;D
600;Isabel Minhós Martins e Dina Mendonça;Onde é que nós íamos? : - sobre a importância e o prazer de conversar;;Tangerina;Carcavelos;02/05/2025;Compra;;;;arte e ciência;D
601;Miguel Gouveia;A manta do José;;Bruaá;Figueira de Foz;02/05/2025;Compra;;;;para refletir;C
602;Rec. e sel. Luísa Ducla Soares;Cada macaco no seu galho : rimas, lengalengas e provérbios;;Livros Horizonte;Lisboa;02/05/2025;Compra;;;;;
603;Lorenzo Coltellaci;O misterioso gigante;;Alfarroba;[S.l.];02/05/20'25;Compra;;;;Pré-Escolar;D
604;Concha Pasmar;Capuchinho Vermelho;;Alfarroba;[S.l.];02/05/2025;Compra;;;;Pré-Escolar;D
605;Gonzalo Moure;A nogueira;;Akiara Books;Barcelona;02/05/2025;Compra;;;;para refletir;C
606;Philip Ball;Três grandes perguntas : (Toda) a ciência em três grandes perguntas;;Tangerina;Carcavelos;02/05/2025;Compra;;;;arte e ciência;D
607;il. Emília Nor;Sr. Caracol;;UPA;[S.l.];02/05/2025;Compra;;;;Creche;B
608;Madalena Moniz;Quá! : 1, 2, 3;;Orfeu Negro;Lisboa;02/05/2025;Compra;;;;Creche;B
609;Isabel Peixeiro ;Esconde esconde;;UPA;[S.l.];02/05/2025;Compra;;;;Creche;B
610;Chris Houghton;Boa noite a todos;;Orfeu Negro;Lisboa;02/05/2025;Compra;;;;Creche;B
611;Chris Houghton;E se…;;Orfeu Negro;Lisboa;02/05/2025;Compra;;;;Creche;B
612;Chris Houghton;Coragem, pequeno caranguejo;;Orfeu Negro;Lisboa;02/05/2025;Compra;;;;Creche;B
613;Cinara Saiónára;Quem está?;;UPA;[S.l.];02/05/2025;Compra;;;;Creche;B
614;[S.A.];Aves;;Nowordbooks;[S.l.];02/05/2025;Compra;;;;Creche;B
615;[S.A.];Como é feito?;;Nowordbooks;[S.l.];02/05/2025;Compra;;;;Creche;B
616;[S.A.];Dinossauros;;Nowordbooks;[S.l.];02/05/2025;Compra;;;;;
617;Chris Houghton;Oh não, Sebastião!;;Orfeu Negro;Lisboa;02/05/2025;Compra;;;;Creche;B
618;Chris Houghton;Chiu! : temos um plano;;Orfeu Negro;Lisboa;02/05/2025;Compra;;;;Creche;B
619;Chris Houghton;Boa, mamã Pinguim!;;Orfeu Negro;Lisboa;02/05/2025;Compra;;;;Creche;B
620;Leo Lionni;Um ano atarefado;;Kalandraka;Matosinhos;02/05/2025;Oferta;;;;Pré-Escolar;B
621;Bhajju Shyam, Durga Bai, Ram Singh Urveti;La vida nocturna de los árboles;;Kalandraka;Pontevedra;02/05/2025;Oferta;;;;arte e ciência;C
622;Madalena Moniz;Hoje sinto-me… de A a Z;;Orfeu Negro;Lisboa;09/05/2025;Compra;;;;para refletir;B
623;Javier Sobrino, Concha Pasamar;Plantar o mundo;;Akiara Books;Barcelona;09/05/2025;Compra;;;;para refletir;B
624;Irma Borges, Mo Gutiérrez Serna;Bando de Nuvens;;Akiara Books;Barcelona;09/05/2025;Compra;;;;para refletir;B
625;Isabel Meira;Gosto, logo existo : redes sociais, jornalismo e um estranho;;Planeta Tangerina;Carcavelos;09/05/2025;Compra;;;;arte e ciência;D
626;Alessandra Roscoe;Quando as coisas desacontecem;;Alfarroba;[S.l.];09/05/2025;Compra;;;;para refletir;B
627;Yael Frankel;Sobre rodas;;UPA;[S.l.];09/05/2025;Compra;;;;Creche;B
628;Manel Ollé;Tao;;Akiara Books;Carcavelos;09/05/2925;Compra;;;;para refletir;C
;;;;;;;;;;;para refletir;C
629;Alex Nogués, Maria Elina;Tão simples;;Akiara Books;Carcavelos;09/05/2025;Compra;;;;;
